76;6;Ankara;Altındağ;Muhammet Karagüzel Vergi Dairesi Müdürlüğü
77;6;Ankara;Gölbaşı;Gölbaşı Vergi Dairesi Müdürlüğü
78;6;Ankara;Sincan;Sincan Vergi Dairesi Müdürlüğü
79;6;Ankara;Dışkapı;Dışkapı Vergi Dairesi Müdürlüğü
80;6;Ankara;Etimesgut;Etimesgut Vergi Dairesi Müdürlüğü
81;6;Ankara;Başkent;Başkent Vergi Dairesi Müdürlüğü
82;6;Ankara;Cumhuriyet;Cumhuriyet Vergi Dairesi Müdürlüğü
83;6;Ankara;Keçiören;Keçiören Vergi Dairesi Müdürlüğü
84;6;Ankara;Kazan;Kazan Vergi Dairesi Müdürlüğü
85;6;Ankara;Polatlı;Polatlı Vergi Dairesi Müdürlüğü
86;6;Ankara;Şereflikoçhisar;Şereflikoçhisar Vergi Dairesi Müdürlüğü
87;6;Ankara;Beypazarı;Beypazarı Vergi Dairesi Müdürlüğü
88;6;Ankara;Çubuk;Çubuk Vergi Dairesi Müdürlüğü
89;6;Ankara;Haymana;Haymana Vergi Dairesi Müdürlüğü
90;6;Ankara;Elmadağ;Elmadağ Vergi Dairesi Müdürlüğü
91;6;Ankara;Ayaş;Ayaş Malmüdürlüğü
92;6;Ankara;Bala;Balâ Malmüdürlüğü
93;6;Ankara;Çamlıdere;Çamlıdere Malmüdürlüğü
94;6;Ankara;Güdül;Güdül Malmüdürlüğü
95;6;Ankara;Kalecik;Kalecik Malmüdürlüğü
96;6;Ankara;Kızılcahamam;Kızılcahamam Malmüdürlüğü
97;6;Ankara;Nallıhan;Nallıhan Malmüdürlüğü
98;6;Ankara;Akyurt;Akyurt Malmüdürlüğü
99;6;Ankara;Evren;Evren Malmüdürlüğü
100;7;Antalya;Muratpaşa;Antalya Kurumlar Vergi Dairesi Müdürlüğü
101;7;Antalya;Muratpaşa;Üçkapılar Vergi Dairesi Müdürlüğü
102;7;Antalya;Muratpaşa;Kalekapı Vergi Dairesi Müdürlüğü
103;7;Antalya;Muratpaşa;Muratpaşa Vergi Dairesi Müdürlüğü
104;7;Antalya;Muratpaşa;Düden Vergi Dairesi Müdürlüğü
105;7;Antalya;Alanya;Alanya Vergi Dairesi Müdürlüğü
106;7;Antalya;Serik;Serik Vergi Dairesi Müdürlüğü
107;7;Antalya;Manavgat;Manavgat Vergi Dairesi Müdürlüğü
108;7;Antalya;Elmalı;Elmalı Vergi Dairesi Müdürlüğü
109;7;Antalya;Kemer;Kemer Vergi Dairesi Müdürlüğü
110;7;Antalya;Kumluca;Kumluca Vergi Dairesi Müdürlüğü
111;7;Antalya;Finike;Finike Malmüdürlüğü
112;7;Antalya;Akseki;Akseki Malmüdürlüğü
113;7;Antalya;Gazipaşa;Gazipaşa Malmüdürlüğü
114;7;Antalya;Gündoğmuş;Gündoğmuş Malmüdürlüğü
115;7;Antalya;Kaş;Kaş Malmüdürlüğü
116;7;Antalya;Korkuteli;Korkuteli Malmüdürlüğü
117;7;Antalya;Demre;Demre Malmüdürlüğü
118;7;Antalya;İbradı;İbradı Malmüdürlüğü
119;8;Artvin;Artvin;Artvin Vergi Dairesi Müdürlüğü
120;8;Artvin;Hopa;Hopa Vergi Dairesi Müdürlüğü
121;8;Artvin;Ardanuç;Ardanuç Malmüdürlüğü
122;8;Artvin;Arhavi;Arhavi Malmüdürlüğü
123;8;Artvin;Borçka;Borçka Malmüdürlüğü
124;8;Artvin;Şavşat;Şavşat Malmüdürlüğü
125;8;Artvin;Yusufeli;Yusufeli Malmüdürlüğü
126;8;Artvin;Murgul;Murgul Malmüdürlüğü
127;9;Aydın;Efeler;Efeler Vergi Dairesi Müdürlüğü
128;9;Aydın;Güzelhisar;Güzelhisar Vergi Dairesi Müdürlüğü
129;9;Aydın;Nazilli;Nazilli Vergi Dairesi Müdürlüğü
130;9;Aydın;Söke;Söke Vergi Dairesi Müdürlüğü
131;9;Aydın;Çine;Çine Vergi Dairesi Müdürlüğü
132;9;Aydın;Germencik;Germencik Vergi Dairesi Müdürlüğü
133;9;Aydın;Kuşadası;Kuşadası Vergi Dairesi Müdürlüğü
134;9;Aydın;Didim;Didim Vergi Dairesi Müdürlüğü
135;9;Aydın;Bozdoğan;Bozdoğan Malmüdürlüğü
136;9;Aydın;Karacasu;Karacasu Malmüdürlüğü
137;9;Aydın;Koçarlı;Koçarlı Malmüdürlüğü
138;9;Aydın;Kuyucak;Kuyucak Malmüdürlüğü
139;9;Aydın;Sultanhisar;Sultanhisar Malmüdürlüğü
140;9;Aydın;Yenipazar;Yenipazar Malmüdürlüğü
141;9;Aydın;Buharkent;Buharkent Malmüdürlüğü
142;9;Aydın;İncirliova;İncirliova Malmüdürlüğü
143;9;Aydın;Karpuzlu;Karpuzlu Malmüdürlüğü
144;9;Aydın;Köşk;Köşk Malmüdürlüğü
145;10;Balıkesir;Altıeylül;Karesi Vergi Dairesi Müdürlüğü
146;10;Balıkesir;Altıeylül;Kurtdereli Vergi Dairesi Müdürlüğü
147;10;Balıkesir;Ayvalık;Ayvalık Vergi Dairesi Müdürlüğü
148;10;Balıkesir;Bandırma;Bandırma Vergi Dairesi Müdürlüğü
149;10;Balıkesir;Burhaniye;Burhaniye Vergi Dairesi Müdürlüğü
150;10;Balıkesir;Edremit;Edremit Vergi Dairesi Müdürlüğü
151;10;Balıkesir;Gönen;Gönen Vergi Dairesi Müdürlüğü
152;10;Balıkesir;Susurluk;Susurluk Vergi Dairesi Müdürlüğü
153;10;Balıkesir;Erdek;Erdek Vergi Dairesi Müdürlüğü
154;10;Balıkesir;Bigadiç;Bigadiç Vergi Dairesi Müdürlüğü
155;10;Balıkesir;Sındırgı;Sındırgı Vergi Dairesi Müdürlüğü
156;10;Balıkesir;Dursunbey;Dursunbey Vergi Dairesi Müdürlüğü
157;10;Balıkesir;Balya;Balya Malmüdürlüğü
158;10;Balıkesir;Havran;Havran Malmüdürlüğü
159;10;Balıkesir;İvrindi;İvrindi Malmüdürlüğü
160;10;Balıkesir;Kepsut;Kepsut Malmüdürlüğü
161;10;Balıkesir;Manyas;Manyas Malmüdürlüğü
162;10;Balıkesir;Savaştepe;Savaştepe Malmüdürlüğü
